Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,W3000,W3000,18.5498,14.7572,0,top
C1,10u,C_0402_1005Metric,19.03995,76.1236,180,top
C2,10u,C_0402_1005Metric,15.61095,73.1772,90,top
C3,100n,C_0201_0603Metric,8.4549,70.3836,-90,top
C4,30q,C_0201_0603Metric,1.2476,24.333,90,top
C5,30q,C_0201_0603Metric,6.531,25.664,-90,top
C6,100n,C_0201_0603Metric,13.8716,28.397,0,top
C7,100n,C_0201_0603Metric,11.8618,39.192,90,top
C8,1u,C_0201_0603Metric,14.224,39.192,90,top
C9,1u,C_0201_0603Metric,15.0114,39.192,90,top
C10,100n,C_0201_0603Metric,17.98,36.9826,0,top
C11,100n,C_0201_0603Metric,17.98,36.1952,0,top
C12,100n,C_0201_0603Metric,18.0594,32.8674,0,top
C13,100n,C_0201_0603Metric,12.3476,28.397,180,top
C14,100n,C_0201_0603Metric,7.0866,32.5882,180,top
C15,100n,C_0201_0603Metric,7.0936,36.1952,180,top
C16,100n,C_0201_0603Metric,7.0834,36.9826,180,top
C17,100n,C_0201_0603Metric,5.0832,48.1582,180,top
C18,100n,C_0201_0603Metric,2.5686,29.4384,-90,top
C19,100n,C_0201_0603Metric,2.3146,28.0922,180,top
C20,100n,C_0201_0603Metric,16.564,25.2218,0,top
C21,100n,C_0201_0603Metric,13.3636,20.7008,0,top
C22,25p,C_0402_1005Metric,19.3072,27.4826,0,top
C23,3.9p,C_0201_0603Metric,11.0268,17.2972,-90,top
C24,220p,C_0201_0603Metric,6.023,15.7224,-90,top
C25,100n,C_0201_0603Metric,16.564,24.3838,0,top
C26,3.9p,C_0201_0603Metric,7.293,17.6528,0,top
C27,100n,C_0201_0603Metric,9.9092,25.8566,90,top
C28,100n,C_0201_0603Metric,9.0964,25.857,90,top
C29,8.2p,C_0201_0603Metric,7.3438,16.332,180,top
C30,25p,C_0402_1005Metric,19.3072,21.3866,180,top
C31,100n,C_0201_0603Metric,9.833,22.9614,90,top
C32,5.6p,C_0201_0603Metric,7.3438,14.9096,180,top
C33,100n,C_0201_0603Metric,9.833,21.4374,-90,top
C34,220p,C_0201_0603Metric,8.5962,14.107,-90,top
C35,10u,C_0402_1005Metric,8.382,50.4444,0,top
C36,10u,C_0402_1005Metric,11.9888,53.4416,90,top
D1,STDBY,LED_0402_1005Metric,10.719,59.3884,0,top
D2,CHRG,LED_0402_1005Metric,10.719,60.6584,0,top
